LineId,Time,Content,EventId,EventTemplate,ParameterList
1,1666360516,mosquitto version 1.6.12 starting,601f8224,mosquitto version 1.6.12 <*>,['starting']
2,1666360516,Config loaded from /mosquitto/mosquitto.conf.,ed44beee,Config loaded from /mosquitto/mosquitto.conf.,[]
3,1666360516,Warning: ACL pattern 'event/encryption_key/model' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'event/encryption_key/model'""]"
4,1666360516,Warning: ACL pattern 'modules/local/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/local/#'""]"
5,1666360516,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
6,1666360516,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
7,1666360516,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
8,1666360516,Warning: ACL pattern 'modules/+/status' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/+/status'""]"
9,1666360516,Warning: ACL pattern 'system/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'system/#'""]"
10,1666360516,Warning: ACL pattern '$SYS/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'$SYS/#'""]"
11,1666360516,Opening ipv4 listen socket on port 1883.,afc0e2cb,Opening <*> listen socket on port 1883.,['ipv4']
12,1666360516,Opening ipv6 listen socket on port 1883.,afc0e2cb,Opening <*> listen socket on port 1883.,['ipv6']
13,1666360516,mosquitto version 1.6.12 running,601f8224,mosquitto version 1.6.12 <*>,['running']
14,1666360517,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
15,1666360517,"New client connected from 10.0.1.4 as csconnectbroker (p2, c0, k90, u'csconnectbroker').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['csconnectbroker', '', ""c0, k90, u'csconnectbroker""]"
16,1666360517,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
17,1666360517,"New client connected from 10.0.1.4 as edgerouterOutgoing (p2, c1, k20, u'edgerouter').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgerouterOutgoing', '', ""c1, k20, u'edgerouter""]"
18,1666360518,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
19,1666360518,"New client connected from 10.0.1.4 as subscriber_controlsystemconnect (p2, c0, k90, u'controlsystemconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_controlsystemconnect', '', ""c0, k90, u'controlsystemconnect""]"
20,1666360518,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
21,1666360518,"New client connected from 10.0.1.4 as publisher_controlsystemconnect (p2, c0, k90, u'controlsystemconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_controlsystemconnect', '', ""c0, k90, u'controlsystemconnect""]"
22,1666360520,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
23,1666360520,"New client connected from 10.0.1.4 as edgerouterIncoming (p2, c0, k20, u'edgerouter').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgerouterIncoming', '', ""c0, k20, u'edgerouter""]"
