EventId,EventTemplate,Occurrences
2186d001,Client <*> disconnected.,8
b318a04a,Saving in-memory database to /mosquitto/mosquitto.db.,9934
f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,122
72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,31
601f8224,mosquitto version 1.6.12 <*>,2
ed44beee,Config loaded from /mosquitto/mosquitto.conf.,1
c21815b8,Expiring client edge-proxy_out due to timeout.,1
a0a40a28,Reloading config.,15
afc0e2cb,Opening <*> listen socket on port 1883.,2
a32dc633,New connection from 10.0.1.4 on port 1883.,31
41f93083,Socket error on client <*> disconnecting.,10
e7695eba,Client <*> has exceeded timeout disconnecting.,3
